epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3577,1.0261,2.5799,1.22942,0.74182,0.67849,0.75484,0.53002,1.00913,1.6469,1.37564,0.000414508,0.000414508,0.000414508
2,141.814,1.08917,1.66643,1.25775,0.71006,0.68683,0.76075,0.53165,1.02776,1.32461,1.33501,0.000822946,0.000822946,0.000822946
3,211.298,1.07717,1.3345,1.25118,0.83223,0.70076,0.79752,0.5619,1.02124,1.17411,1.34017,0.00122313,0.00122313,0.00122313
4,280.247,1.0757,1.18899,1.24116,0.77245,0.75566,0.83558,0.57402,1.02212,0.98623,1.36694,0.00121287,0.00121287,0.00121287
5,349.753,1.04228,1.07966,1.21975,0.82697,0.76288,0.85551,0.6155,0.97393,0.99446,1.31512,0.0012005,0.0012005,0.0012005
6,418.694,1.03224,0.99867,1.21205,0.84595,0.80509,0.88307,0.65322,0.92715,0.83664,1.25339,0.00118812,0.00118812,0.00118812
7,487.882,0.99833,0.93558,1.1899,0.88709,0.81858,0.91107,0.6869,0.91903,0.72849,1.22287,0.00117575,0.00117575,0.00117575
8,556.845,1.00511,0.9104,1.19597,0.87481,0.86462,0.92423,0.69873,0.89018,0.72449,1.22163,0.00116337,0.00116337,0.00116337
9,627.075,0.97584,0.84889,1.17725,0.86528,0.82238,0.91679,0.69105,0.88659,0.7382,1.22721,0.001151,0.001151,0.001151
10,697.114,0.95211,0.81064,1.16414,0.88913,0.85504,0.93051,0.68763,0.92111,0.68232,1.2253,0.00113863,0.00113863,0.00113863
11,766.41,0.94503,0.79634,1.16129,0.89227,0.87212,0.93667,0.70531,0.89398,0.66434,1.21096,0.00112625,0.00112625,0.00112625
12,835.896,0.93707,0.77926,1.15521,0.88143,0.80533,0.92161,0.69742,0.88827,0.7544,1.20999,0.00111388,0.00111388,0.00111388
13,905.813,0.94688,0.76237,1.15888,0.92783,0.86619,0.93862,0.69402,0.886,0.63658,1.24304,0.0011015,0.0011015,0.0011015
14,974.239,0.91566,0.74528,1.14715,0.89173,0.90731,0.94285,0.71567,0.86485,0.611,1.20878,0.00108913,0.00108913,0.00108913
15,1044.14,0.90827,0.7411,1.13383,0.88028,0.88652,0.94383,0.71413,0.85789,0.61332,1.17325,0.00107675,0.00107675,0.00107675
16,1113.77,0.9046,0.70709,1.13158,0.9258,0.89823,0.94167,0.71058,0.88104,0.62144,1.21814,0.00106437,0.00106437,0.00106437
17,1183.77,0.89432,0.70431,1.125,0.92308,0.88126,0.94079,0.72161,0.87126,0.58221,1.18574,0.001052,0.001052,0.001052
18,1254.03,0.89745,0.68333,1.12629,0.95231,0.89197,0.95765,0.73669,0.87128,0.56679,1.1857,0.00103962,0.00103962,0.00103962
19,1324.18,0.88172,0.67044,1.12132,0.92946,0.89459,0.95285,0.72305,0.90593,0.55732,1.21132,0.00102725,0.00102725,0.00102725
20,1393.79,0.89821,0.67113,1.13547,0.93243,0.91046,0.95563,0.73303,0.82979,0.53933,1.18785,0.00101488,0.00101488,0.00101488
21,1463.86,0.86556,0.65528,1.10815,0.92653,0.9154,0.94865,0.7296,0.86958,0.54018,1.21577,0.0010025,0.0010025,0.0010025
22,1533.74,0.87623,0.65586,1.11834,0.92322,0.89737,0.94602,0.72191,0.87055,0.553,1.22361,0.000990125,0.000990125,0.000990125
23,1602.47,0.86694,0.63738,1.1156,0.92962,0.9181,0.95529,0.73288,0.8419,0.52444,1.19498,0.00097775,0.00097775,0.00097775
24,1671.21,0.88146,0.63665,1.11123,0.93842,0.9187,0.95783,0.73826,0.84597,0.50226,1.18453,0.000965375,0.000965375,0.000965375
25,1742.11,0.86409,0.62959,1.11344,0.89279,0.91112,0.94995,0.73851,0.83788,0.56032,1.16909,0.000953,0.000953,0.000953
26,1812.17,0.86179,0.62278,1.1079,0.92772,0.90299,0.95023,0.72931,0.87715,0.52825,1.20375,0.000940625,0.000940625,0.000940625
27,1882.44,0.86749,0.62594,1.10942,0.93837,0.93424,0.96361,0.74964,0.83971,0.48752,1.16848,0.00092825,0.00092825,0.00092825
28,1953.03,0.84408,0.59607,1.09805,0.94571,0.91334,0.95615,0.7399,0.83744,0.48571,1.18839,0.000915875,0.000915875,0.000915875
29,2022.92,0.86034,0.60248,1.1072,0.9224,0.91191,0.95626,0.73828,0.83943,0.51182,1.17479,0.0009035,0.0009035,0.0009035
30,2093.4,0.82785,0.58069,1.08642,0.94684,0.91203,0.96297,0.75764,0.80709,0.49718,1.16209,0.000891125,0.000891125,0.000891125
31,2164.28,0.84048,0.60698,1.09321,0.94182,0.92023,0.96035,0.75894,0.83138,0.4818,1.16865,0.00087875,0.00087875,0.00087875
32,2234.87,0.82933,0.58213,1.08978,0.9335,0.92983,0.96594,0.75595,0.82011,0.46852,1.15939,0.000866375,0.000866375,0.000866375
33,2305.94,0.81952,0.57533,1.08852,0.91947,0.91555,0.95757,0.74716,0.81898,0.50305,1.1547,0.000854,0.000854,0.000854
34,2376.39,0.82073,0.56758,1.08229,0.93144,0.91246,0.96037,0.74401,0.83337,0.51966,1.16941,0.000841625,0.000841625,0.000841625
35,2446.72,0.82976,0.57474,1.08851,0.95383,0.91988,0.96006,0.75566,0.81749,0.46117,1.1532,0.00082925,0.00082925,0.00082925
36,2518.01,0.81524,0.56301,1.08561,0.95726,0.91386,0.96669,0.74898,0.84984,0.46109,1.1673,0.000816875,0.000816875,0.000816875
37,2587.91,0.8022,0.55196,1.07682,0.94379,0.93174,0.96327,0.76103,0.80982,0.449,1.15971,0.0008045,0.0008045,0.0008045
38,2659.02,0.81436,0.54995,1.07908,0.93332,0.93588,0.96665,0.76319,0.80368,0.44369,1.15369,0.000792125,0.000792125,0.000792125
39,2729.03,0.79882,0.54687,1.0732,0.95898,0.92217,0.96817,0.74832,0.8282,0.46431,1.18196,0.00077975,0.00077975,0.00077975
40,2798.61,0.79709,0.53745,1.07323,0.93967,0.92448,0.95831,0.75632,0.80881,0.46623,1.1567,0.000767375,0.000767375,0.000767375
41,2867.7,0.79927,0.54754,1.07212,0.95359,0.92874,0.96852,0.76283,0.79227,0.45441,1.14365,0.000755,0.000755,0.000755
42,2939.02,0.78746,0.52054,1.05993,0.94563,0.94071,0.97126,0.76603,0.80203,0.4439,1.14528,0.000742625,0.000742625,0.000742625
43,3010.89,0.78494,0.52736,1.06129,0.94711,0.94087,0.96875,0.76421,0.80855,0.43697,1.1621,0.00073025,0.00073025,0.00073025
44,3081.91,0.77953,0.5212,1.06428,0.95234,0.92829,0.96215,0.76021,0.82415,0.44511,1.15324,0.000717875,0.000717875,0.000717875
45,3152.16,0.77638,0.51461,1.06211,0.9484,0.92028,0.95815,0.75213,0.82124,0.46043,1.15801,0.0007055,0.0007055,0.0007055
46,3222.46,0.76642,0.51026,1.05135,0.93684,0.94367,0.96894,0.76333,0.8299,0.4364,1.17661,0.000693125,0.000693125,0.000693125
47,3292.66,0.77428,0.51022,1.05984,0.93816,0.93145,0.97047,0.77184,0.8004,0.43198,1.14366,0.00068075,0.00068075,0.00068075
48,3363.77,0.7784,0.50294,1.05335,0.95338,0.9251,0.96631,0.76987,0.79813,0.44715,1.13812,0.000668375,0.000668375,0.000668375
49,3433.28,0.75841,0.49189,1.04567,0.95207,0.94514,0.96925,0.76723,0.82296,0.43719,1.15729,0.000656,0.000656,0.000656
50,3503.63,0.7655,0.49604,1.05512,0.96708,0.93268,0.96979,0.77129,0.79363,0.41245,1.14917,0.000643625,0.000643625,0.000643625
51,3572.75,0.75895,0.49362,1.05064,0.95243,0.93262,0.96477,0.76739,0.7998,0.42392,1.14744,0.00063125,0.00063125,0.00063125
52,3641.94,0.77391,0.49863,1.06022,0.96399,0.94163,0.96927,0.76779,0.80197,0.42086,1.16997,0.000618875,0.000618875,0.000618875
53,3711.43,0.74676,0.47835,1.0528,0.96284,0.93695,0.96935,0.77799,0.80378,0.40674,1.13916,0.0006065,0.0006065,0.0006065
54,3781.74,0.74222,0.47025,1.04194,0.95192,0.93947,0.96511,0.77817,0.78494,0.41325,1.13093,0.000594125,0.000594125,0.000594125
55,3851.14,0.75223,0.47754,1.04313,0.95576,0.93634,0.96494,0.77433,0.78942,0.41245,1.14269,0.00058175,0.00058175,0.00058175
56,3922.12,0.74627,0.47659,1.03975,0.96117,0.93232,0.96644,0.77924,0.79,0.40552,1.15136,0.000569375,0.000569375,0.000569375
57,3993.65,0.74156,0.46396,1.0399,0.96441,0.91888,0.96333,0.77772,0.8042,0.42179,1.14725,0.000557,0.000557,0.000557
58,4065.18,0.73936,0.47316,1.036,0.95997,0.93453,0.96587,0.77807,0.79889,0.40781,1.13696,0.000544625,0.000544625,0.000544625
59,4136.33,0.73835,0.46182,1.03873,0.94878,0.93923,0.9703,0.78425,0.78116,0.41197,1.12947,0.00053225,0.00053225,0.00053225
60,4207.02,0.73108,0.45583,1.03427,0.95796,0.93125,0.96564,0.7817,0.78378,0.40744,1.12798,0.000519875,0.000519875,0.000519875
61,4277.45,0.72981,0.45787,1.03425,0.94932,0.93164,0.96665,0.78282,0.78138,0.41973,1.13119,0.0005075,0.0005075,0.0005075
62,4348.36,0.73188,0.45206,1.03821,0.96327,0.91954,0.96099,0.76423,0.80563,0.42766,1.16306,0.000495125,0.000495125,0.000495125
63,4418.33,0.73887,0.45976,1.03368,0.95007,0.926,0.96453,0.76916,0.80283,0.40967,1.17564,0.00048275,0.00048275,0.00048275
64,4487.95,0.71737,0.43897,1.02861,0.94809,0.94124,0.9667,0.7739,0.79109,0.39847,1.15069,0.000470375,0.000470375,0.000470375
65,4558.11,0.71237,0.44419,1.01948,0.949,0.94238,0.96647,0.77588,0.79109,0.3887,1.15802,0.000458,0.000458,0.000458
66,4628.02,0.71803,0.44578,1.03054,0.96311,0.92992,0.96514,0.77142,0.78995,0.39619,1.15975,0.000445625,0.000445625,0.000445625
67,4698.86,0.71074,0.43552,1.01625,0.94333,0.94473,0.96934,0.78363,0.79365,0.3992,1.16148,0.00043325,0.00043325,0.00043325
68,4769.83,0.71101,0.43528,1.0177,0.93597,0.96057,0.96843,0.78484,0.7839,0.39158,1.14225,0.000420875,0.000420875,0.000420875
69,4839.87,0.69854,0.43652,1.01913,0.96803,0.93562,0.96654,0.77955,0.79802,0.40079,1.14818,0.0004085,0.0004085,0.0004085
70,4910.03,0.69966,0.4306,1.01182,0.95101,0.94103,0.96608,0.77912,0.79555,0.40125,1.16136,0.000396125,0.000396125,0.000396125
71,4978.27,0.69321,0.42843,1.01534,0.96637,0.92982,0.96467,0.78122,0.78717,0.39262,1.15628,0.00038375,0.00038375,0.00038375
72,5048.75,0.70779,0.42835,1.02183,0.9602,0.94592,0.96659,0.77939,0.80436,0.39097,1.16372,0.000371375,0.000371375,0.000371375
73,5116.73,0.68545,0.41396,1.01123,0.956,0.94169,0.96406,0.77694,0.80287,0.39237,1.15999,0.000359,0.000359,0.000359
74,5185.87,0.69709,0.42639,1.01659,0.95797,0.9237,0.95994,0.7678,0.80306,0.39876,1.16999,0.000346625,0.000346625,0.000346625
75,5254.78,0.68601,0.40849,1.00857,0.96932,0.93292,0.96644,0.77574,0.798,0.39962,1.1669,0.00033425,0.00033425,0.00033425
76,5323.49,0.69271,0.41992,1.01327,0.96829,0.9296,0.96532,0.78035,0.80431,0.39689,1.15378,0.000321875,0.000321875,0.000321875
77,5394.01,0.67456,0.41039,1.00829,0.95551,0.94797,0.96355,0.77414,0.7971,0.39169,1.16733,0.0003095,0.0003095,0.0003095
78,5463.06,0.66465,0.39725,1.0047,0.97067,0.92463,0.96695,0.77469,0.8091,0.40363,1.16194,0.000297125,0.000297125,0.000297125
79,5533.19,0.66363,0.40437,0.9938,0.94837,0.95551,0.9658,0.77829,0.7876,0.38719,1.15485,0.00028475,0.00028475,0.00028475
80,5602.25,0.66767,0.40153,0.99451,0.96359,0.93066,0.95979,0.77331,0.79222,0.39581,1.16004,0.000272375,0.000272375,0.000272375
81,5670.86,0.67915,0.39738,1.01558,0.96458,0.93622,0.96117,0.77377,0.79639,0.40339,1.16286,0.00026,0.00026,0.00026
82,5738.72,0.66227,0.39169,0.99639,0.94736,0.94455,0.96065,0.78104,0.78716,0.40557,1.16188,0.000247625,0.000247625,0.000247625
83,5806.96,0.6655,0.39442,1.00405,0.95339,0.94046,0.96316,0.77865,0.8016,0.39377,1.17874,0.00023525,0.00023525,0.00023525
84,5876.43,0.66354,0.38954,0.99928,0.95114,0.94145,0.9621,0.77783,0.80211,0.39387,1.17485,0.000222875,0.000222875,0.000222875
85,5945.45,0.64671,0.38008,0.99297,0.95688,0.94682,0.96521,0.77809,0.80142,0.39062,1.17669,0.0002105,0.0002105,0.0002105
86,6014.88,0.6446,0.38623,0.99596,0.95502,0.94533,0.96523,0.77861,0.7927,0.39008,1.16879,0.000198125,0.000198125,0.000198125
87,6084.22,0.66403,0.39321,0.99446,0.96243,0.93551,0.96209,0.78259,0.78643,0.37859,1.1724,0.00018575,0.00018575,0.00018575
88,6152.88,0.65523,0.38286,0.98886,0.9536,0.94581,0.96384,0.78404,0.78494,0.38709,1.16332,0.000173375,0.000173375,0.000173375
89,6222.18,0.65011,0.37833,0.99357,0.96025,0.93643,0.96341,0.781,0.79921,0.38268,1.17297,0.000161,0.000161,0.000161
90,6291.11,0.64264,0.38061,0.98994,0.96241,0.94307,0.9637,0.78269,0.79131,0.38714,1.16934,0.000148625,0.000148625,0.000148625
91,6359.83,0.59012,0.31692,0.94796,0.95704,0.93333,0.96452,0.77546,0.80518,0.38997,1.17699,0.00013625,0.00013625,0.00013625
92,6424.6,0.58262,0.30778,0.94237,0.95978,0.94603,0.9641,0.78093,0.80145,0.38406,1.17041,0.000123875,0.000123875,0.000123875
93,6489.64,0.57192,0.30877,0.93458,0.95701,0.94248,0.9642,0.7798,0.79702,0.38423,1.16698,0.0001115,0.0001115,0.0001115
94,6554.07,0.56833,0.30186,0.93889,0.94893,0.94856,0.9658,0.78108,0.79443,0.38155,1.171,9.9125e-05,9.9125e-05,9.9125e-05
95,6618.92,0.56812,0.29669,0.93758,0.96402,0.93539,0.96595,0.78036,0.79363,0.38613,1.16985,8.675e-05,8.675e-05,8.675e-05
96,6683.37,0.56277,0.29505,0.93872,0.93636,0.95425,0.962,0.78068,0.79314,0.38464,1.16698,7.4375e-05,7.4375e-05,7.4375e-05
97,6747.88,0.56022,0.29343,0.93319,0.94588,0.9518,0.96398,0.7861,0.79515,0.38398,1.17101,6.2e-05,6.2e-05,6.2e-05
98,6813.76,0.54835,0.29034,0.92896,0.96907,0.93627,0.96448,0.78318,0.79123,0.3832,1.17107,4.9625e-05,4.9625e-05,4.9625e-05
99,6879.39,0.54863,0.28583,0.93181,0.95693,0.93585,0.96028,0.78468,0.79456,0.38244,1.17082,3.725e-05,3.725e-05,3.725e-05
100,6943.74,0.55054,0.28643,0.92492,0.9608,0.93638,0.96373,0.78268,0.79466,0.38467,1.173,2.4875e-05,2.4875e-05,2.4875e-05
